SampleID	Seqs/Sample	PD_whole_tree Ave.	PD_whole_tree Err.	chao1 Ave.	chao1 Err.	goods_coverage Ave.	goods_coverage Err.	observed_otus Ave.	observed_otus Err.	shannon Ave.	shannon Err.	simpson Ave.	simpson Err.
HE7	485.0	8.649	nan	154.931	nan	0.906	nan	83.600	nan	4.643	nan	0.918	nan
HE7	968.0	11.074	nan	226.912	nan	0.938	nan	121.000	nan	4.774	nan	0.919	nan
HE7	1451.0	13.050	nan	235.756	nan	0.954	nan	147.300	nan	4.827	nan	0.920	nan
HE7	1934.0	13.752	nan	243.417	nan	0.964	nan	167.000	nan	4.870	nan	0.920	nan
HE7	2417.0	14.640	nan	260.820	nan	0.970	nan	181.500	nan	4.893	nan	0.920	nan
HE7	2900.0	15.448	nan	268.180	nan	0.975	nan	196.000	nan	4.900	nan	0.920	nan
HE7	3383.0	16.075	nan	281.555	nan	0.978	nan	209.600	nan	4.929	nan	0.921	nan
HE7	3866.0	16.281	nan	289.456	nan	0.981	nan	216.400	nan	4.908	nan	0.921	nan
HE7	4349.0	16.729	nan	278.712	nan	0.984	nan	223.600	nan	4.918	nan	0.920	nan
HE7	4832.0	16.859	nan	285.106	nan	0.986	nan	229.300	nan	4.922	nan	0.921	nan
HE8	2.0	0.856	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HE8	485.0	5.169	nan	83.003	nan	0.948	nan	47.400	nan	3.552	nan	0.863	nan
HE8	968.0	6.476	nan	108.819	nan	0.967	nan	66.000	nan	3.574	nan	0.861	nan
HE8	1451.0	7.628	nan	132.265	nan	0.974	nan	83.400	nan	3.663	nan	0.866	nan
HE8	1934.0	8.228	nan	142.582	nan	0.980	nan	92.300	nan	3.632	nan	0.864	nan
HE8	2417.0	8.915	nan	142.406	nan	0.984	nan	101.600	nan	3.669	nan	0.864	nan
HE8	2900.0	9.047	nan	151.700	nan	0.986	nan	106.100	nan	3.652	nan	0.864	nan
HE8	3383.0	9.509	nan	145.236	nan	0.990	nan	113.300	nan	3.679	nan	0.865	nan
HE8	3866.0	9.315	nan	154.025	nan	0.991	nan	114.700	nan	3.660	nan	0.864	nan
HE8	4349.0	9.980	nan	161.548	nan	0.991	nan	122.900	nan	3.676	nan	0.864	nan
HE8	4832.0	10.069	nan	163.238	nan	0.992	nan	123.900	nan	3.645	nan	0.862	nan
HL1	2.0	0.878	nan	2.400	nan	0.300	nan	1.700	nan	0.700	nan	0.350	nan
HL1	485.0	7.546	nan	110.699	nan	0.930	nan	72.400	nan	4.207	nan	0.874	nan
HL1	968.0	8.494	nan	119.014	nan	0.968	nan	89.900	nan	4.250	nan	0.876	nan
HL1	1451.0	9.391	nan	144.937	nan	0.977	nan	104.800	nan	4.279	nan	0.873	nan
HL1	1934.0	9.700	nan	141.992	nan	0.984	nan	112.000	nan	4.289	nan	0.872	nan
HL1	2417.0	10.218	nan	155.852	nan	0.987	nan	119.700	nan	4.331	nan	0.876	nan
HL1	2900.0	10.647	nan	163.992	nan	0.989	nan	126.800	nan	4.322	nan	0.875	nan
HL1	3383.0	10.986	nan	162.001	nan	0.991	nan	130.800	nan	4.330	nan	0.876	nan
HL1	3866.0	11.175	nan	170.972	nan	0.991	nan	135.400	nan	4.325	nan	0.873	nan
HL1	4349.0	11.472	nan	176.316	nan	0.992	nan	140.400	nan	4.345	nan	0.875	nan
HL1	4832.0	11.507	nan	175.074	nan	0.993	nan	142.500	nan	4.339	nan	0.874	nan
HL2	2.0	1.014	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
HL2	485.0	13.420	nan	245.976	nan	0.842	nan	150.000	nan	6.168	nan	0.970	nan
HL2	968.0	16.743	nan	279.956	nan	0.916	nan	208.700	nan	6.413	nan	0.972	nan
HL2	1451.0	18.594	nan	326.522	nan	0.941	nan	244.500	nan	6.487	nan	0.972	nan
HL2	1934.0	19.649	nan	317.408	nan	0.962	nan	264.900	nan	6.540	nan	0.972	nan
HL2	2417.0	20.207	nan	340.535	nan	0.969	nan	285.700	nan	6.571	nan	0.973	nan
HL2	2900.0	20.887	nan	349.622	nan	0.976	nan	297.000	nan	6.599	nan	0.973	nan
HL2	3383.0	21.579	nan	363.895	nan	0.980	nan	309.200	nan	6.619	nan	0.973	nan
HL2	3866.0	22.000	nan	358.650	nan	0.984	nan	317.300	nan	6.611	nan	0.973	nan
HL2	4349.0	22.063	nan	355.643	nan	0.988	nan	320.900	nan	6.641	nan	0.973	nan
HL2	4832.0	22.557	nan	370.680	nan	0.988	nan	330.900	nan	6.630	nan	0.973	nan
HL4	2.0	0.779	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
HL4	485.0	7.917	nan	152.434	nan	0.907	nan	86.600	nan	4.682	nan	0.900	nan
HL4	968.0	10.661	nan	210.228	nan	0.936	nan	125.100	nan	4.824	nan	0.905	nan
HL4	1451.0	12.098	nan	234.220	nan	0.953	nan	151.900	nan	4.883	nan	0.906	nan
HL4	1934.0	13.227	nan	243.502	nan	0.964	nan	171.800	nan	4.938	nan	0.909	nan
HL4	2417.0	14.040	nan	261.923	nan	0.970	nan	187.800	nan	4.903	nan	0.905	nan
HL4	2900.0	14.677	nan	259.306	nan	0.977	nan	195.000	nan	4.930	nan	0.907	nan
HL4	3383.0	15.393	nan	281.331	nan	0.979	nan	212.400	nan	4.959	nan	0.906	nan
HL4	3866.0	16.402	nan	287.869	nan	0.981	nan	225.700	nan	4.990	nan	0.909	nan
HL4	4349.0	16.612	nan	298.865	nan	0.984	nan	228.700	nan	4.984	nan	0.909	nan
HL4	4832.0	16.996	nan	298.079	nan	0.986	nan	236.500	nan	4.974	nan	0.907	nan
HL5	2.0	0.934	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HL5	485.0	8.934	nan	182.950	nan	0.897	nan	79.800	nan	4.054	nan	0.858	nan
HL5	968.0	11.541	nan	210.173	nan	0.934	nan	118.300	nan	4.170	nan	0.859	nan
HL5	1451.0	13.310	nan	220.321	nan	0.954	nan	143.800	nan	4.244	nan	0.862	nan
HL5	1934.0	14.869	nan	247.086	nan	0.963	nan	167.000	nan	4.255	nan	0.859	nan
HL5	2417.0	15.718	nan	263.375	nan	0.969	nan	182.900	nan	4.298	nan	0.863	nan
HL5	2900.0	16.203	nan	260.487	nan	0.976	nan	194.700	nan	4.314	nan	0.863	nan
HL5	3383.0	16.773	nan	273.183	nan	0.979	nan	201.900	nan	4.315	nan	0.863	nan
HL5	3866.0	17.418	nan	293.000	nan	0.980	nan	216.100	nan	4.309	nan	0.861	nan
HL5	4349.0	18.116	nan	286.332	nan	0.984	nan	223.900	nan	4.314	nan	0.860	nan
HL5	4832.0	18.421	nan	306.087	nan	0.985	nan	233.200	nan	4.325	nan	0.861	nan
HL7	2.0	0.817	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
HL7	485.0	9.799	nan	166.690	nan	0.889	nan	97.600	nan	4.634	nan	0.898	nan
HL7	968.0	12.599	nan	216.345	nan	0.933	nan	139.100	nan	4.758	nan	0.899	nan
HL7	1451.0	14.233	nan	245.416	nan	0.953	nan	167.700	nan	4.835	nan	0.899	nan
HL7	1934.0	15.426	nan	251.950	nan	0.965	nan	184.800	nan	4.850	nan	0.899	nan
HL7	2417.0	16.305	nan	269.891	nan	0.972	nan	200.000	nan	4.873	nan	0.899	nan
HL7	2900.0	16.777	nan	269.542	nan	0.978	nan	211.500	nan	4.907	nan	0.900	nan
HL7	3383.0	17.152	nan	278.722	nan	0.981	nan	220.900	nan	4.892	nan	0.898	nan
HL7	3866.0	17.858	nan	287.365	nan	0.983	nan	229.600	nan	4.908	nan	0.899	nan
HL7	4349.0	18.369	nan	300.775	nan	0.985	nan	240.700	nan	4.927	nan	0.899	nan
HL7	4832.0	18.951	nan	310.087	nan	0.986	nan	249.900	nan	4.934	nan	0.899	nan
IA2	2.0	0.865	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
IA2	485.0	5.175	nan	122.950	nan	0.930	nan	60.600	nan	3.624	nan	0.823	nan
IA2	968.0	6.808	nan	154.471	nan	0.955	nan	86.300	nan	3.684	nan	0.816	nan
IA2	1451.0	8.312	nan	165.274	nan	0.966	nan	105.500	nan	3.756	nan	0.822	nan
IA2	1934.0	9.239	nan	199.086	nan	0.971	nan	123.000	nan	3.752	nan	0.818	nan
IA2	2417.0	10.297	nan	206.358	nan	0.975	nan	138.600	nan	3.806	nan	0.821	nan
IA2	2900.0	10.753	nan	215.036	nan	0.979	nan	150.400	nan	3.829	nan	0.823	nan
IA2	3383.0	11.653	nan	236.343	nan	0.981	nan	158.600	nan	3.813	nan	0.822	nan
IA2	3866.0	11.759	nan	238.320	nan	0.984	nan	164.300	nan	3.807	nan	0.821	nan
IA2	4349.0	12.524	nan	263.774	nan	0.984	nan	174.600	nan	3.809	nan	0.820	nan
IA2	4832.0	12.943	nan	259.785	nan	0.986	nan	182.200	nan	3.854	nan	0.823	nan
IA3	2.0	0.821	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
IA3	485.0	5.708	nan	141.785	nan	0.936	nan	56.600	nan	3.671	nan	0.842	nan
IA3	968.0	7.983	nan	185.894	nan	0.954	nan	82.800	nan	3.753	nan	0.844	nan
IA3	1451.0	9.604	nan	192.716	nan	0.965	nan	100.700	nan	3.794	nan	0.844	nan
IA3	1934.0	10.648	nan	209.874	nan	0.970	nan	117.300	nan	3.807	nan	0.843	nan
IA3	2417.0	11.646	nan	220.714	nan	0.973	nan	135.100	nan	3.827	nan	0.842	nan
IA3	2900.0	11.876	nan	229.980	nan	0.977	nan	140.600	nan	3.811	nan	0.842	nan
IA3	3383.0	13.346	nan	261.446	nan	0.978	nan	159.700	nan	3.831	nan	0.839	nan
IA3	3866.0	13.351	nan	262.966	nan	0.981	nan	162.800	nan	3.836	nan	0.842	nan
IA3	4349.0	13.860	nan	277.381	nan	0.982	nan	170.700	nan	3.827	nan	0.842	nan
IA3	4832.0	14.276	nan	270.090	nan	0.985	nan	178.900	nan	3.849	nan	0.842	nan
IA4	2.0	0.876	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
IA4	485.0	6.604	nan	130.078	nan	0.924	nan	65.300	nan	3.862	nan	0.865	nan
IA4	968.0	9.039	nan	176.457	nan	0.948	nan	94.700	nan	3.923	nan	0.864	nan
IA4	1451.0	10.695	nan	209.572	nan	0.960	nan	117.800	nan	3.981	nan	0.866	nan
IA4	1934.0	11.657	nan	223.521	nan	0.968	nan	133.700	nan	3.997	nan	0.865	nan
IA4	2417.0	12.846	nan	232.729	nan	0.972	nan	151.000	nan	4.026	nan	0.866	nan
IA4	2900.0	13.682	nan	254.918	nan	0.976	nan	163.200	nan	4.040	nan	0.866	nan
IA4	3383.0	14.365	nan	264.739	nan	0.978	nan	174.000	nan	4.044	nan	0.866	nan
IA4	3866.0	15.022	nan	271.870	nan	0.980	nan	186.600	nan	4.054	nan	0.865	nan
IA4	4349.0	15.255	nan	282.642	nan	0.982	nan	194.100	nan	4.067	nan	0.867	nan
IA4	4832.0	15.600	nan	274.091	nan	0.985	nan	198.500	nan	4.047	nan	0.865	nan
IA5	2.0	0.773	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
IA5	485.0	4.522	nan	93.135	nan	0.949	nan	50.300	nan	3.337	nan	0.803	nan
IA5	968.0	6.091	nan	118.021	nan	0.967	nan	70.000	nan	3.424	nan	0.806	nan
IA5	1451.0	7.357	nan	143.748	nan	0.972	nan	88.400	nan	3.445	nan	0.805	nan
IA5	1934.0	8.591	nan	173.190	nan	0.976	nan	99.700	nan	3.455	nan	0.805	nan
IA5	2417.0	8.915	nan	176.549	nan	0.981	nan	108.300	nan	3.489	nan	0.808	nan
IA5	2900.0	9.374	nan	180.269	nan	0.984	nan	115.900	nan	3.476	nan	0.805	nan
IA5	3383.0	9.797	nan	173.912	nan	0.986	nan	121.700	nan	3.485	nan	0.806	nan
IA5	3866.0	10.366	nan	208.054	nan	0.986	nan	132.500	nan	3.492	nan	0.806	nan
IA5	4349.0	11.108	nan	217.949	nan	0.986	nan	140.000	nan	3.488	nan	0.806	nan
IA5	4832.0	10.951	nan	211.051	nan	0.989	nan	141.900	nan	3.491	nan	0.805	nan
IA7	2.0	0.908	nan	3.000	nan	0.000	nan	2.000	nan	1.000	nan	0.500	nan
IA7	485.0	6.539	nan	131.263	nan	0.926	nan	61.900	nan	3.880	nan	0.879	nan
IA7	968.0	8.278	nan	163.925	nan	0.953	nan	89.100	nan	4.049	nan	0.886	nan
IA7	1451.0	10.122	nan	207.303	nan	0.961	nan	112.700	nan	4.085	nan	0.884	nan
IA7	1934.0	10.745	nan	226.615	nan	0.968	nan	125.700	nan	4.059	nan	0.882	nan
IA7	2417.0	12.116	nan	223.157	nan	0.974	nan	142.400	nan	4.089	nan	0.882	nan
IA7	2900.0	12.706	nan	228.210	nan	0.977	nan	154.800	nan	4.100	nan	0.883	nan
IA7	3383.0	13.331	nan	251.789	nan	0.979	nan	166.700	nan	4.103	nan	0.882	nan
IA7	3866.0	13.916	nan	263.565	nan	0.981	nan	175.500	nan	4.092	nan	0.881	nan
IA7	4349.0	14.417	nan	254.277	nan	0.983	nan	183.800	nan	4.117	nan	0.882	nan
IA7	4832.0	14.771	nan	283.936	nan	0.984	nan	193.900	nan	4.121	nan	0.882	nan
IA8	2.0	1.015	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
IA8	485.0	4.420	nan	91.862	nan	0.950	nan	46.900	nan	3.553	nan	0.844	nan
IA8	968.0	6.647	nan	140.271	nan	0.960	nan	71.200	nan	3.642	nan	0.843	nan
IA8	1451.0	7.404	nan	154.119	nan	0.971	nan	84.200	nan	3.645	nan	0.841	nan
IA8	1934.0	7.650	nan	152.890	nan	0.978	nan	91.100	nan	3.633	nan	0.843	nan
IA8	2417.0	8.630	nan	173.583	nan	0.980	nan	102.900	nan	3.662	nan	0.844	nan
IA8	2900.0	9.681	nan	185.115	nan	0.982	nan	113.600	nan	3.663	nan	0.842	nan
IA8	3383.0	10.024	nan	189.997	nan	0.984	nan	121.600	nan	3.674	nan	0.843	nan
IA8	3866.0	10.510	nan	214.132	nan	0.985	nan	129.400	nan	3.691	nan	0.843	nan
IA8	4349.0	10.982	nan	209.245	nan	0.987	nan	136.400	nan	3.687	nan	0.843	nan
IA8	4832.0	11.251	nan	197.537	nan	0.989	nan	139.500	nan	3.688	nan	0.842	nan
IA9	2.0	0.848	nan	2.400	nan	0.300	nan	1.700	nan	0.700	nan	0.350	nan
IA9	485.0	8.008	nan	155.869	nan	0.914	nan	65.600	nan	3.735	nan	0.861	nan
IA9	968.0	10.637	nan	173.165	nan	0.944	nan	99.800	nan	3.852	nan	0.862	nan
IA9	1451.0	12.155	nan	210.592	nan	0.956	nan	125.900	nan	3.911	nan	0.864	nan
IA9	1934.0	13.547	nan	225.793	nan	0.965	nan	144.300	nan	3.924	nan	0.862	nan
IA9	2417.0	14.641	nan	256.978	nan	0.969	nan	163.000	nan	3.943	nan	0.864	nan
IA9	2900.0	15.708	nan	271.616	nan	0.973	nan	177.000	nan	3.964	nan	0.864	nan
IA9	3383.0	16.241	nan	268.463	nan	0.977	nan	188.000	nan	3.963	nan	0.863	nan
IA9	3866.0	17.021	nan	270.096	nan	0.980	nan	196.300	nan	3.969	nan	0.864	nan
IA9	4349.0	17.154	nan	275.022	nan	0.983	nan	202.500	nan	3.984	nan	0.865	nan
IA9	4832.0	17.783	nan	296.002	nan	0.984	nan	215.300	nan	3.983	nan	0.864	nan
IE2	2.0	1.003	nan	2.800	nan	0.100	nan	1.900	nan	0.900	nan	0.450	nan
IE2	485.0	8.242	nan	149.910	nan	0.909	nan	90.900	nan	4.926	nan	0.926	nan
IE2	968.0	11.088	nan	228.599	nan	0.935	nan	131.800	nan	5.066	nan	0.928	nan
IE2	1451.0	12.598	nan	264.391	nan	0.950	nan	158.800	nan	5.098	nan	0.928	nan
IE2	1934.0	13.500	nan	264.959	nan	0.962	nan	174.300	nan	5.085	nan	0.926	nan
IE2	2417.0	14.568	nan	281.647	nan	0.968	nan	193.700	nan	5.125	nan	0.927	nan
IE2	2900.0	14.903	nan	273.381	nan	0.975	nan	201.500	nan	5.143	nan	0.928	nan
IE2	3383.0	16.280	nan	302.150	nan	0.976	nan	224.600	nan	5.187	nan	0.928	nan
IE2	3866.0	16.322	nan	296.926	nan	0.980	nan	228.600	nan	5.164	nan	0.927	nan
IE2	4349.0	16.838	nan	315.072	nan	0.982	nan	239.700	nan	5.163	nan	0.927	nan
IE2	4832.0	17.486	nan	312.486	nan	0.984	nan	247.900	nan	5.197	nan	0.927	nan
IE3	2.0	0.978	nan	2.600	nan	0.200	nan	1.800	nan	0.800	nan	0.400	nan
IE3	485.0	9.537	nan	179.745	nan	0.891	nan	97.900	nan	4.693	nan	0.896	nan
IE3	968.0	12.036	nan	234.583	nan	0.930	nan	138.100	nan	4.820	nan	0.898	nan
IE3	1451.0	13.241	nan	253.285	nan	0.950	nan	165.300	nan	4.863	nan	0.898	nan
IE3	1934.0	14.495	nan	279.410	nan	0.958	nan	193.100	nan	4.901	nan	0.898	nan
IE3	2417.0	15.751	nan	286.425	nan	0.967	nan	207.900	nan	4.943	nan	0.899	nan
IE3	2900.0	15.977	nan	281.855	nan	0.974	nan	221.200	nan	4.959	nan	0.900	nan
