group	value
Genetic 1	1.600378953
Genetic 1	1.504168214
Genetic 1	1.361768297
Genetic 1	1.153387109
Genetic 1	1.642199483
Genetic 1	1.454195329
Genetic 1	1.854866108
Genetic 1	1.989144629
Genetic 1	1.066197866
Genetic 1	2.048235647
Genetic 1	1.120053789
Genetic 1	1.979936266
Genetic 1	1.862762578
Genetic 1	1.266217822
Genetic 1	1.758478695
Genetic 1	0.237337724
Genetic 1	1.481057649
Genetic 1	1.859221122
Genetic 1	0.884767118
Genetic 1	1.666796104
Genetic 1	1.692172834
Genetic 1	1.648626634
Genetic 1	1.565840267
Genetic 1	1.935784405
Genetic 1	1.766533769
Genetic 1	1.721777086
Genetic 1	1.786959914
Genetic 1	1.585092123
Genetic 1	1.629677774
Genetic 1	1.012789575
Genetic 1	0.879997866
Genetic 1	1.713078871
Genetic 1	1.566020427
Genetic 1	1.459145048
Genetic 1	1.414269673
Genetic 1	1.270632202
Genetic 1	1.53777915
Genetic 1	1.690108626
Genetic 1	1.757998229
Genetic 1	0
Genetic 1	1.496231043
Genetic 1	0.823188903
Genetic 1	1.861032919
Genetic 1	1.837529139
Genetic 1	0.531774754
Genetic 1	1.576996567
Genetic 1	1.754390766
Genetic 1	1.333736027
Genetic 1	1.738494089
Genetic 1	0.91864559
Genetic 1	1.849951767
Genetic 1	1.131149656
Genetic 2	1.198583507
Genetic 2	1.347096059
Genetic 2	0.693147181
Genetic 2	0.602308027
Genetic 2	1.371938618
Genetic 2	0.974683847
Genetic 2	0
Genetic 2	0.770488624
Genetic 2	1.407678982
Genetic 2	1.163259145
Genetic 2	1.057870274
Genetic 2	1.395000973
Genetic 2	1.605073289
Genetic 2	1.659104829
Genetic 2	1.107281115
Genetic 2	0.817352979
Genetic 2	1.330641247
Genetic 2	1.197842556
Genetic 2	1.228671942
Genetic 2	1.397847365
Genetic 2	1.142737886
Genetic 2	1.468978143
Genetic 2	1.22841409
Genetic 2	1.319606468
Genetic 2	0.993230217
Genetic 2	1.068172905
Genetic 2	0.598269589
Genetic 2	1.291036362
Genetic 2	1.24857376
Genetic 2	1.199842203
Genetic 2	1.458363949
Genetic 2	1.430349831
Genetic 2	1.257273435
Genetic 2	1.119054955
Genetic 2	0.786225825
Genetic 2	1.505855157
Genetic 2	1.373265585
Genetic 2	1.372227804
Genetic 2	1.630799105
Genetic 2	1.278424405
Genetic 2	1.140392608
Genetic 2	1.153741943
Genetic 2	1.23596892
Genetic 2	1.349372485
Genetic 2	1.259396089
Genetic 2	0.708660135
Genetic 2	0.556461338
Genetic 2	1.188418893
Genetic 2	1.421683019
Genetic 2	0.900256051
Genetic 2	1.212859673
Genetic 2	0.882179435
Genetic 2	0.967860017
Genetic 2	1.317360584
Genetic 2	0.423239239
Genetic 2	1.393290858
Genetic 2	1.463068008
Genetic 2	0.630955524
Genetic 2	1.316349455
Genetic 2	1.249758906
Genetic 2	0.661563238
Genetic 2	1.468496449
Genetic 2	1.192492161
Genetic 2	1.17553502
Genetic 2	1.361338351
Genetic 2	0.894777906
Genetic 2	0.636514168
Genetic 2	1.064619599
Genetic 2	1.213205885
Genetic 2	1.352209399
Genetic 2	0.990451044
Genetic 2	1.169526397
Genetic 2	1.126197085
Genetic 2	1.207406098
Genetic 2	1.235272995
Genetic 2	1.159539171
Genetic 2	1.315711935
Genetic 2	1.054920168
Genetic 2	1.222965862
Genetic 2	0
Genetic 2	0.80686824
Genetic 2	1.136225687
Genetic 2	1.05204739
Genetic 2	1.235654504
Genetic 2	1.079006032
Genetic 2	1.334888559
Genetic 2	0.86669671
Genetic 2	1.515378556
Genetic 2	1.379823237
Genetic 2	1.390529136
Genetic 2	1.412276053
Genetic 2	1.500372623
Genetic 2	0.387212375
Genetic 2	1.208141101
Genetic 2	0.655481774
Genetic 2	1.484457536
Genetic 2	1.152534235
Genetic 2	1.340052991
Genetic 2	0.937090928
Genetic 2	1.492741827
Genetic 2	1.602297867
Genetic 2	1.436509958
Genetic 2	0.555722121
Genetic 2	1.579233135
Genetic 2	1.022980096
Genetic 2	1.006726455
Genetic 2	1.412904157
Genetic 2	1.131362705
Genetic 2	0.58278445
Genetic 2	1.196481331
Genetic 2	1.567069801
Genetic 2	0.919774582
Genetic 2	1.388514242
Genetic 2	1.209851009
Genetic 2	0.891457158
Genetic 2	0.872279891
Genetic 2	0.73896994
Genetic 2	0.49142113
Genetic 2	1.238497067
Genetic 2	0.746694433
Genetic 2	1.171562927
Genetic 2	1.410967034
Genetic 2	0.742426249
Genetic 2	1.406486878
Genetic 2	1.011404265
Genetic 2	1.120950393
Genetic 2	1.076773833
Genetic 2	1.303464255
Genetic 2	0.867563228
Genetic 2	1.435332313
Genetic 2	1.261406485
Genetic 2	1.475895829
Genetic 2	0.556554369
Genetic 2	0.524993373
Genetic 2	0.682908105
Genetic 2	1.354125677
Genetic 2	1.195730303
Genetic 2	1.208081941
Genetic 2	1.227431623
Genetic 2	1.201247457
Genetic 2	1.385046621
Genetic 2	1.099408625
Genetic 2	1.335463447
Genetic 2	1.3573521
Genetic 2	1.261605476
Genetic 2	1.523549301
Genetic 2	0.713603949
Genetic 2	1.144809949
Genetic 2	0.77192486
Genetic 2	0.500402424
Genetic 2	1.191638786
Genetic 2	1.249065094
Genetic 2	1.523630982
Genetic 2	0.955699891
Genetic 2	0.556554369
Genetic 2	0.693147181
Genetic 2	0
Genetic 2	1.427125843
Genetic 2	1.142415584
Genetic 2	1.407666374
Genetic 2	1.215800746
Genetic 2	1.232500883
Genetic 2	0.558439724
Genetic 2	1.21707151
Genetic 2	1.020925349
Genetic 2	1.211041126
Genetic 2	1.184204345
Genetic 2	1.131690509
Genetic 2	1.08763273
Genetic 2	1.051807846
Genetic 2	1.194052038
Genetic 2	1.371993685
Genetic 2	1.119234878
Genetic 2	0.693147181
Genetic 2	1.242048144
Genetic 2	1.38666555
Genetic 2	1.28320825
Genetic 2	1.135267046
Genetic 2	1.036392084
Genetic 2	1.270992096
Genetic 2	1.515707952
Genetic 2	1.455664343
Genetic 2	1.3329669
Genetic 2	1.271892285
Genetic 2	1.166624134
Genetic 2	1.369920501
Genetic 2	1.393170064
Genetic 2	0
Genetic 2	0.882447367
Genetic 2	0
Genetic 2	1.326209762
Genetic 2	1.466956284
Genetic 2	1.085151867
Genetic 2	1.383589032
Genetic 2	1.128329786
Genetic 2	1.392731212
Genetic 2	1.119361018
Genetic 2	0.8704119
Genetic 2	1.240996616
Genetic 2	1.171563404
Genetic 2	0.63225679
Genetic 2	1.029221834
Genetic 2	1.391412899
Genetic 2	1.138404741
Genetic 2	0.392674467
Genetic 2	1.098758766
Genetic 2	0.972993807
Genetic 2	1.281685935
Genetic 2	1.288634879
Genetic 2	1.469307106
Genetic 2	1.370839542
Genetic 2	0.693147181
Genetic 2	1.13583729
Genetic 2	1.224122284
Genetic 2	1.371734334
Genetic 2	1.192461116
Genetic 2	0.673011667
Genetic 2	1.233461525
Genetic 2	1.006812951
Genetic 2	1.44611539
Genetic 2	1.075983282
Genetic 2	1.166299809
Genetic 2	1.057295633
Genetic 2	1.402676743
Genetic 2	1.511447473
Genetic 2	1.381440884
Genetic 2	1.562663983
Genetic 2	0
Genetic 2	1.353414023
Genetic 2	1.062737568
Genetic 2	1.062737568
Genetic 2	1.239201337
Genetic 2	1.155631283
Genetic 2	1.234480589
Genetic 2	1.159378209
Genetic 2	1.289773687
Genetic 2	1.21237322
Genetic 2	0.984125201
Genetic 2	1.114741406
Genetic 2	0.512654429
Genetic 2	1.801308024
Genetic 2	1.137746204
Genetic 2	1.232299119
Genetic 2	1.203858705
