taxa	organ	pond	sample	value
Verrucomicrobia	Hepatopancreas	Pond 1 (G1)	HL1	0.000332853
Actinobacteria	Hepatopancreas	Pond 1 (G1)	HL2	0.03336511
Bacteroidetes	Hepatopancreas	Pond 1 (G1)	HL2	0.069145218
Chloroflexi	Hepatopancreas	Pond 1 (G1)	HL2	0.006609469
Cyanobacteria	Hepatopancreas	Pond 1 (G1)	HL2	0.218176041
Firmicutes	Hepatopancreas	Pond 1 (G1)	HL2	0.011248808
Fusobacteria	Hepatopancreas	Pond 1 (G1)	HL2	0.04416905
Gemmatimonadetes	Hepatopancreas	Pond 1 (G1)	HL2	0.000508421
OP8	Hepatopancreas	Pond 1 (G1)	HL2	0.000127105
Planctomycetes	Hepatopancreas	Pond 1 (G1)	HL2	0.01766762
Proteobacteria	Hepatopancreas	Pond 1 (G1)	HL2	0.571147124
Synergistetes	Hepatopancreas	Pond 1 (G1)	HL2	0
Tenericutes	Hepatopancreas	Pond 1 (G1)	HL2	0.026692088
Verrucomicrobia	Hepatopancreas	Pond 1 (G1)	HL2	0.001143947
Actinobacteria	Hepatopancreas	Pond 1 (G1)	HL4	0.005806366
Bacteroidetes	Hepatopancreas	Pond 1 (G1)	HL4	0.003063946
Chloroflexi	Hepatopancreas	Pond 1 (G1)	HL4	0.001172621
Cyanobacteria	Hepatopancreas	Pond 1 (G1)	HL4	0.134548825
Firmicutes	Hepatopancreas	Pond 1 (G1)	HL4	0.004974183
Fusobacteria	Hepatopancreas	Pond 1 (G1)	HL4	0.066858321
Gemmatimonadetes	Hepatopancreas	Pond 1 (G1)	HL4	1.89E-05
OP8	Hepatopancreas	Pond 1 (G1)	HL4	5.67E-05
Planctomycetes	Hepatopancreas	Pond 1 (G1)	HL4	0.007622038
Proteobacteria	Hepatopancreas	Pond 1 (G1)	HL4	0.756510885
Synergistetes	Hepatopancreas	Pond 1 (G1)	HL4	0
Tenericutes	Hepatopancreas	Pond 1 (G1)	HL4	0.019083464
Verrucomicrobia	Hepatopancreas	Pond 1 (G1)	HL4	0.000283699
Actinobacteria	Hepatopancreas	Pond 1 (G1)	HL5	0.013715753
