	HL7	HE8	HL5	HL4	HL2	HL1	HE4	HE5	HE7	HE1	HE2	IE3	IE2	IE5	IE7	HA8	IA9	IA8	IA5	HA1	IA7	HA5	IA3	IA2	IE9	IE8	IA4	HA2	IL6	IL4	IL2	IL3	IL1	HA7	IL8
IA7	0.480868313162	0.67835240375	0.497714295804	0.497380801888	0.431584135243	0.71067629056	0.525395454534	0.479322956738	0.544646360562	0.505173278392	0.477078722899	0.480521314645	0.375817690539	0.421032229712	0.45935517054	0.554950459433	0.427818628528	0.506386808967	0.497933319605	0.534088030613	0.0	0.40653721587	0.46627786102	0.451661108992	0.692053640682	0.512108386863	0.375679125165	0.522610899922	0.452261636473	0.451814710097	0.409674701238	0.473893141032	0.573571926849	0.545966827677	0.499038060304
HA5	0.286658511873	0.587225369457	0.334218305954	0.401956487355	0.260366934389	0.560519996612	0.349643206559	0.305099962194	0.377691396934	0.392928548109	0.360186416788	0.42040996289	0.431602929546	0.44055377873	0.5029442447	0.421790306896	0.410850134347	0.58131252548	0.546577307125	0.340305679279	0.40653721587	0.0	0.481974410015	0.539016920566	0.672751928377	0.532357134392	0.45557348927	0.322090850984	0.358239304195	0.503382015868	0.387159759076	0.354086584483	0.59137729743	0.38732534429	0.452353737537
IA3	0.518871335981	0.627707499673	0.480026509027	0.484081116978	0.520254861509	0.639844820863	0.522452955624	0.533838246128	0.537524905336	0.500318070152	0.47870268542	0.518015157267	0.49528093704	0.503295443545	0.484540839595	0.547293965265	0.450149410317	0.504110420163	0.541599947704	0.533009844187	0.46627786102	0.481974410015	0.0	0.453438138601	0.664919426905	0.407736696303	0.489371837263	0.494325242525	0.492727636125	0.563392952883	0.44702222424	0.506152924974	0.496037206698	0.501398063797	0.565332336839
IA2	0.533226960731	0.678557236949	0.552182080805	0.527195165501	0.547558510926	0.688755555748	0.555432778823	0.546283821616	0.542825729987	0.557528618288	0.53339615277	0.583655904336	0.470420096177	0.454337595084	0.496271058517	0.580817670906	0.515982680149	0.451846051604	0.52651744442	0.56104092343	0.451661108992	0.539016920566	0.453438138601	0.0	0.669255388164	0.498232409702	0.431520557158	0.529913784239	0.503198595213	0.467411357898	0.510585814297	0.570975104117	0.570740413798	0.579458439532	0.540254340137
IE9	0.680382051231	0.524341625787	0.711404262876	0.618872274501	0.692333253638	0.494680747733	0.601865041672	0.670600275536	0.622763080815	0.61645594319	0.634975056904	0.637678397249	0.672380871958	0.65975355961	0.640766800422	0.633056775384	0.669931393423	0.595648497573	0.558264624132	0.681759957253	0.692053640682	0.672751928377	0.664919426905	0.669255388164	0.0	0.539043225869	0.662774278762	0.678613289365	0.686743845104	0.70525671779	0.680033910286	0.693194782713	0.569723141336	0.635973223377	0.625275044241
IE8	0.512581279015	0.565128853596	0.553083984852	0.488885638739	0.554700047044	0.597229713593	0.452917755714	0.508898175007	0.489554431768	0.482512058761	0.4828062807	0.50155089196	0.470149780163	0.480920312397	0.417563716157	0.582968561635	0.511782341519	0.504061238501	0.505213480541	0.591077925451	0.512108386863	0.532357134392	0.407736696303	0.498232409702	0.539043225869	0.0	0.528011151851	0.553933847805	0.520827849581	0.54162851963	0.489935338281	0.544037688925	0.472363133134	0.562386173364	0.514138537114
IA4	0.494234595129	0.686146716629	0.478646527413	0.522959837486	0.493136722558	0.709706099351	0.523182440852	0.485491250965	0.524687214475	0.5460010362	0.526414671311	0.485211636969	0.451677461166	0.387233405672	0.506428861538	0.554784338169	0.380517186936	0.504813481238	0.450162609947	0.474469101181	0.375679125165	0.45557348927	0.489371837263	0.431520557158	0.662774278762	0.528011151851	0.0	0.442302162805	0.465214388726	0.425557982026	0.419012138035	0.468639898694	0.585134587045	0.535704063625	0.506313856856
HA2	0.348615779403	0.537883176312	0.354815225294	0.409068133923	0.317604601401	0.519110033841	0.394710861216	0.351482264794	0.4199018483	0.420544873124	0.402249456231	0.43841159912	0.471414354044	0.421511622432	0.534142475445	0.338555387464	0.411753676881	0.604544147102	0.615999914298	0.23317125632	0.522610899922	0.322090850984	0.494325242525	0.529913784239	0.678613289365	0.553933847805	0.442302162805	0.0	0.37409541687	0.520903075573	0.43692296214	0.382670533265	0.563247585497	0.344610762838	0.432562591048
IL6	0.310353425372	0.608154549334	0.331562277543	0.400405129446	0.262826566907	0.628942543692	0.412680659773	0.361770588092	0.399523835427	0.447856715276	0.442102042512	0.310914397557	0.366429397539	0.338714409436	0.485024811635	0.489196153511	0.374294890204	0.568854210185	0.584977395922	0.379475000783	0.452261636473	0.358239304195	0.492727636125	0.503198595213	0.686743845104	0.520827849581	0.465214388726	0.37409541687	0.0	0.39306197865	0.3480497019	0.268880349079	0.589960995465	0.446381594011	0.422669929628
IL4	0.44658702365	0.704812818122	0.473662410139	0.470078011732	0.465715593255	0.723156123209	0.537128512594	0.491892828824	0.54168453149	0.579576369658	0.570515274596	0.498589113282	0.327666701742	0.368096505982	0.479028299225	0.602315801777	0.450236248983	0.586365288236	0.511720468089	0.527441056504	0.451814710097	0.503382015868	0.563392952883	0.467411357898	0.70525671779	0.54162851963	0.425557982026	0.520903075573	0.39306197865	0.0	0.43378754803	0.41785678447	0.614863212668	0.573389056283	0.504463446477
IL2	0.398972688361	0.636316732164	0.401433612752	0.416085443647	0.307630451202	0.683539987543	0.458181719724	0.380325503532	0.455713422007	0.446835394499	0.470050024065	0.351556241354	0.306604876516	0.282577753743	0.416032151805	0.522586493428	0.368895590663	0.569135918195	0.547482641127	0.419348206535	0.409674701238	0.387159759076	0.44702222424	0.510585814297	0.680033910286	0.489935338281	0.419012138035	0.43692296214	0.3480497019	0.43378754803	0.0	0.288062413874	0.536898171431	0.519936209862	0.42859973397
IL3	0.316936825552	0.649098783709	0.320892459496	0.424127840225	0.242488477917	0.655877381432	0.450753177635	0.322184199452	0.440741034741	0.497382600775	0.48551464076	0.34507126912	0.338691775144	0.344202116458	0.525136327625	0.52021120431	0.346617665259	0.625420292788	0.607397316755	0.37925960988	0.473893141032	0.354086584483	0.506152924974	0.570975104117	0.693194782713	0.544037688925	0.468639898694	0.382670533265	0.268880349079	0.41785678447	0.288062413874	0.0	0.614764055347	0.501728539282	0.391253716065
IL1	0.632200803149	0.524338573152	0.598973496822	0.555548213296	0.608320463078	0.580341430696	0.494486387774	0.601513328706	0.568482094144	0.508276980896	0.539145580417	0.548371608096	0.551220708785	0.577847705845	0.496148533258	0.544659335802	0.629114843625	0.542161225406	0.544001259171	0.592958284683	0.573571926849	0.59137729743	0.496037206698	0.570740413798	0.569723141336	0.472363133134	0.585134587045	0.563247585497	0.589960995465	0.614863212668	0.536898171431	0.614764055347	0.0	0.505747028573	0.534912615169
HA7	0.436385397381	0.452757285721	0.441825667423	0.448444818162	0.429755463829	0.425235254655	0.388758468003	0.418547275304	0.449887989178	0.386381265878	0.391978529154	0.47703455108	0.529155579004	0.55129432888	0.582681850869	0.315481597975	0.487224588039	0.580964074056	0.616110231579	0.374561286878	0.545966827677	0.38732534429	0.501398063797	0.579458439532	0.635973223377	0.562386173364	0.535704063625	0.344610762838	0.446381594011	0.573389056283	0.519936209862	0.501728539282	0.505747028573	0.0	0.48557200196
IL8	0.415641235051	0.60138098098	0.489324136953	0.471814739683	0.424858940231	0.610108749313	0.490735684904	0.431116230466	0.481774642232	0.485410321224	0.477484896148	0.350622212404	0.449937599218	0.445524861988	0.524344680266	0.47681033388	0.474124652129	0.600738793499	0.574733719371	0.451809516068	0.499038060304	0.452353737537	0.565332336839	0.540254340137	0.625275044241	0.514138537114	0.506313856856	0.432562591048	0.422669929628	0.504463446477	0.42859973397	0.391253716065	0.534912615169	0.48557200196	0.0
