	HL7	IE5	HL5	HL4	HL2	HL1	HE4	HE5	HE7	HE1	HE2	IE3	IE2	HE8	IE7	IE9	IE8	IL6	IL4	IL2	IL3	IL1	IL8
HE2	0.417642215851	0.476422791429	0.393574900843	0.430156832505	0.409065894952	0.425470669831	0.360527566037	0.374194713256	0.350135611498	0.302909238698	0.0	0.422454181678	0.478703488542	0.432099107338	0.511223773549	0.542474895874	0.555366296275	0.445511164183	0.534187528343	0.480515623198	0.501175394726	0.498036539427	0.455689363253
IE3	0.400723289421	0.29308548777	0.407570454184	0.439850562219	0.351086758415	0.54942308621	0.440926999384	0.35644797428	0.397849451975	0.453644261036	0.422454181678	0.0	0.389177776909	0.598423047418	0.505255637655	0.591570422828	0.50963420776	0.366402988946	0.486193076528	0.387594263396	0.345613840954	0.526417112299	0.426350045993
IE2	0.440549048485	0.288323476951	0.452271975806	0.532854099981	0.41018931066	0.662794218058	0.52691735696	0.413729963171	0.452986239549	0.535963217773	0.478703488542	0.389177776909	0.0	0.682338946534	0.44551642279	0.621903622336	0.515887870393	0.38137914963	0.370645733902	0.32754705476	0.361336748547	0.507100363336	0.486327693666
HE8	0.568664249291	0.675818363794	0.540211864975	0.512318562724	0.573637450572	0.340864647045	0.430336823568	0.55092919349	0.494915439165	0.37962741521	0.432099107338	0.598423047418	0.682338946534	0.0	0.59846936224	0.513765912363	0.569414172494	0.612840944403	0.712962875928	0.649440949684	0.678140772415	0.557436464422	0.597246581119
IE7	0.52170729018	0.465768169175	0.546771320339	0.563791877516	0.50077160834	0.605567790957	0.460497767556	0.522877668005	0.468176843064	0.534584062496	0.511223773549	0.505255637655	0.44551642279	0.59846936224	0.0	0.566358671517	0.491595299991	0.466872889355	0.48648070621	0.423494916113	0.53877076671	0.517363670094	0.480365210485
IE9	0.663055047723	0.641496958546	0.675347457367	0.611388733295	0.667069234839	0.534979414475	0.550071651911	0.63607616478	0.5769541569	0.517523980807	0.542474895874	0.591570422828	0.621903622336	0.513765912363	0.566358671517	0.0	0.51112327984	0.647435531519	0.686561197861	0.633525668429	0.679548938886	0.513545421139	0.580309465922
IE8	0.59168167157	0.499768948988	0.591867144508	0.519785633149	0.591838151199	0.571499807007	0.498090908184	0.576510790079	0.530675857902	0.486371116258	0.555366296275	0.50963420776	0.515887870393	0.569414172494	0.491595299991	0.51112327984	0.0	0.562248605851	0.56518744727	0.507075006696	0.592151241823	0.434310954899	0.533597220885
IL6	0.315359839194	0.367065470183	0.322358855664	0.389545620659	0.254785961435	0.567174659498	0.474438875012	0.388648976062	0.387662379446	0.514765802178	0.445511164183	0.366402988946	0.38137914963	0.612840944403	0.466872889355	0.647435531519	0.562248605851	0.0	0.39499023781	0.307923308637	0.256417741351	0.566661710388	0.440389512563
IL4	0.438538363644	0.382975366091	0.499494729899	0.533619174265	0.463526504283	0.704653162147	0.59944433871	0.479133924334	0.544236032826	0.610948061076	0.534187528343	0.486193076528	0.370645733902	0.712962875928	0.48648070621	0.686561197861	0.56518744727	0.39499023781	0.0	0.381074274651	0.420429124158	0.598679127104	0.524888294702
IL2	0.425682078134	0.251083074159	0.393759677899	0.46104853985	0.286440812775	0.637391623343	0.515788239181	0.397312053032	0.428045594711	0.515539066316	0.480515623198	0.387594263396	0.32754705476	0.649440949684	0.423494916113	0.633525668429	0.507075006696	0.307923308637	0.381074274651	0.0	0.310275742033	0.505976527647	0.447104423381
IL3	0.341227711052	0.283474775048	0.333400798669	0.453800924616	0.237342204861	0.629925506411	0.511606820968	0.346204602794	0.419692597967	0.560334538771	0.501175394726	0.345613840954	0.361336748547	0.678140772415	0.53877076671	0.679548938886	0.592151241823	0.256417741351	0.420429124158	0.310275742033	0.0	0.600771526829	0.443600479386
IL1	0.579462943733	0.516857066867	0.571619576796	0.534625784013	0.562786838374	0.544265575503	0.520325962523	0.559917589584	0.516869668502	0.457421167551	0.498036539427	0.526417112299	0.507100363336	0.557436464422	0.517363670094	0.513545421139	0.434310954899	0.566661710388	0.598679127104	0.505976527647	0.600771526829	0.0	0.53879906596
IL8	0.438783654463	0.456164492041	0.488043764992	0.558521845323	0.440185807882	0.541797210439	0.438206445163	0.443065675388	0.458205114832	0.497894442576	0.455689363253	0.426350045993	0.486327693666	0.597246581119	0.480365210485	0.580309465922	0.533597220885	0.440389512563	0.524888294702	0.447104423381	0.443600479386	0.53879906596	0.0
