	HA1	HA2	HA5	HA7	HA8	HE1	HE2	HE4	HE5	HE7	HE8	HL1	HL2	HL4	HL5	HL7	IA2	IA3	IA4	IA5	IA7	IA8	IA9	IE2	IE3	IE5	IE7	IE8	IE9	IL1	IL2	IL3	IL4	IL6	IL8
HE8	-0.578520409	-0.537883176	-0.587225369	-0.452757286	-0.454116256	-0.416988726	-0.45958095	-0.450818546	-0.535692476	-0.446945818	0	-0.30596194	-0.561663535	-0.547420158	-0.580495511	-0.548502563	-0.678557237	-0.6277075	-0.686146717	-0.667937098	-0.678352404	-0.624196451	-0.636408093	-0.66613035	-0.623304235	-0.647069328	-0.569368764	-0.565128854	-0.524341626	-0.524338573	-0.636316732	-0.649098784	-0.704812818	-0.608154549	-0.601380981
HL1	-0.562098053	-0.519110034	-0.560519997	-0.425235255	-0.451798237	-0.442481298	-0.470116948	-0.466716264	-0.549050863	-0.476535479	-0.30596194	0	-0.553870663	-0.532620907	-0.579218325	-0.552236886	-0.688755556	-0.639844821	-0.709706099	-0.688150447	-0.710676291	-0.644140587	-0.65553871	-0.695389543	-0.62189603	-0.701002343	-0.639701514	-0.597229714	-0.494680748	-0.580341431	-0.683539988	-0.655877381	-0.723156123	-0.628942544	-0.610108749
HL2	-0.326818925	-0.317604601	-0.260366934	-0.429755464	-0.438514934	-0.390048281	-0.365643114	-0.367266177	-0.249842858	-0.326809717	-0.561663535	-0.553870663	0	-0.347447215	-0.260652299	-0.23158321	-0.547558511	-0.520254862	-0.493136723	-0.628094151	-0.431584135	-0.592168867	-0.405028705	-0.348068265	-0.32869377	-0.332735609	-0.48659022	-0.554700047	-0.692333254	-0.608320463	-0.307630451	-0.242488478	-0.465715593	-0.262826567	-0.42485894
HL4	-0.413399295	-0.409068134	-0.401956487	-0.448444818	-0.475003814	-0.407700164	-0.444735451	-0.436775685	-0.4184167	-0.405045392	-0.547420158	-0.532620907	-0.347447215	0	-0.381611682	-0.368856797	-0.527195166	-0.484081117	-0.522959837	-0.593624017	-0.497380802	-0.546918324	-0.474561691	-0.441663582	-0.417820991	-0.457707219	-0.44847781	-0.488885639	-0.618872275	-0.555548213	-0.416085444	-0.42412784	-0.470078012	-0.400405129	-0.47181474
HL5	-0.404347477	-0.354815225	-0.334218306	-0.441825667	-0.464889759	-0.441794893	-0.41353954	-0.370156736	-0.324162141	-0.331414346	-0.580495511	-0.579218325	-0.260652299	-0.381611682	0	-0.315821943	-0.552182081	-0.480026509	-0.478646527	-0.637761013	-0.497714296	-0.594235126	-0.40335361	-0.426201846	-0.397759012	-0.410178976	-0.523964135	-0.553083985	-0.711404263	-0.598973497	-0.401433613	-0.320892459	-0.47366241	-0.331562278	-0.489324137
HL7	-0.356068225	-0.348615779	-0.286658512	-0.436385397	-0.47454556	-0.419495506	-0.390710387	-0.383390513	-0.29684985	-0.372487162	-0.548502563	-0.552236886	-0.23158321	-0.368856797	-0.315821943	0	-0.533226961	-0.518871336	-0.494234595	-0.580868914	-0.480868313	-0.592749486	-0.420706259	-0.425227288	-0.429920013	-0.403673737	-0.471822935	-0.512581279	-0.680382051	-0.632200803	-0.398972688	-0.316936826	-0.446587024	-0.310353425	-0.415641235
IA2	-0.561040923	-0.529913784	-0.539016921	-0.57945844	-0.580817671	-0.557528618	-0.533396153	-0.555432779	-0.546283822	-0.54282573	-0.678557237	-0.688755556	-0.547558511	-0.527195166	-0.552182081	-0.533226961	0	-0.453438139	-0.431520557	-0.526517444	-0.451661109	-0.451846052	-0.51598268	-0.470420096	-0.583655904	-0.454337595	-0.496271059	-0.49823241	-0.669255388	-0.570740414	-0.510585814	-0.570975104	-0.467411358	-0.503198595	-0.54025434
IA3	-0.533009844	-0.494325243	-0.48197441	-0.501398064	-0.547293965	-0.50031807	-0.478702685	-0.522452956	-0.533838246	-0.537524905	-0.6277075	-0.639844821	-0.520254862	-0.484081117	-0.480026509	-0.518871336	-0.453438139	0	-0.489371837	-0.541599948	-0.466277861	-0.50411042	-0.45014941	-0.495280937	-0.518015157	-0.503295444	-0.48454084	-0.407736696	-0.664919427	-0.496037207	-0.447022224	-0.506152925	-0.563392953	-0.492727636	-0.565332337
IA4	-0.474469101	-0.442302163	-0.455573489	-0.535704064	-0.554784338	-0.546001036	-0.526414671	-0.523182441	-0.485491251	-0.524687214	-0.686146717	-0.709706099	-0.493136723	-0.522959837	-0.478646527	-0.494234595	-0.431520557	-0.489371837	0	-0.45016261	-0.375679125	-0.504813481	-0.380517187	-0.451677461	-0.485211637	-0.387233406	-0.506428862	-0.528011152	-0.662774279	-0.585134587	-0.419012138	-0.468639899	-0.425557982	-0.465214389	-0.506313857
IA5	-0.625149573	-0.615999914	-0.546577307	-0.616110232	-0.637581048	-0.606973131	-0.58631686	-0.556597462	-0.596982644	-0.59004826	-0.667937098	-0.688150447	-0.628094151	-0.593624017	-0.637761013	-0.580868914	-0.526517444	-0.541599948	-0.45016261	0	-0.49793332	-0.456718077	-0.558797432	-0.521310275	-0.618903086	-0.542110295	-0.547128287	-0.505213481	-0.558264624	-0.544001259	-0.547482641	-0.607397317	-0.511720468	-0.584977396	-0.574733719
IA7	-0.534088031	-0.5226109	-0.406537216	-0.545966828	-0.554950459	-0.505173278	-0.477078723	-0.525395455	-0.479322957	-0.544646361	-0.678352404	-0.710676291	-0.431584135	-0.497380802	-0.497714296	-0.480868313	-0.451661109	-0.466277861	-0.375679125	-0.49793332	0	-0.506386809	-0.427818629	-0.375817691	-0.480521315	-0.42103223	-0.459355171	-0.512108387	-0.692053641	-0.573571927	-0.409674701	-0.473893141	-0.45181471	-0.452261636	-0.49903806
IA8	-0.619990051	-0.604544147	-0.581312525	-0.580964074	-0.606586825	-0.53740544	-0.526651207	-0.555688291	-0.589000325	-0.525220069	-0.624196451	-0.644140587	-0.592168867	-0.546918324	-0.594235126	-0.592749486	-0.451846052	-0.50411042	-0.504813481	-0.456718077	-0.506386809	0	-0.532646719	-0.542793712	-0.588902656	-0.562031002	-0.500710511	-0.504061239	-0.595648498	-0.542161225	-0.569135918	-0.625420293	-0.586365288	-0.56885421	-0.600738793
IA9	-0.424380911	-0.411753677	-0.410850134	-0.487224588	-0.501644228	-0.512430526	-0.494456319	-0.481038746	-0.385296347	-0.456259878	-0.636408093	-0.65553871	-0.405028705	-0.474561691	-0.40335361	-0.420706259	-0.51598268	-0.45014941	-0.380517187	-0.558797432	-0.427818629	-0.532646719	0	-0.424592369	-0.425703911	-0.404835873	-0.50294448	-0.511782342	-0.669931393	-0.629114844	-0.368895591	-0.346617665	-0.450236249	-0.37429489	-0.474124652
IE2	-0.491502489	-0.471414354	-0.43160293	-0.529155579	-0.588289638	-0.496999731	-0.475782172	-0.478666754	-0.40743524	-0.460091474	-0.66613035	-0.695389543	-0.348068265	-0.441663582	-0.426201846	-0.425227288	-0.470420096	-0.495280937	-0.451677461	-0.521310275	-0.375817691	-0.542793712	-0.424592369	0	-0.375937968	-0.300858214	-0.411646704	-0.47014978	-0.672380872	-0.551220709	-0.306604877	-0.338691775	-0.327666702	-0.366429398	-0.449937599
IE3	-0.439664085	-0.438411599	-0.420409963	-0.477034551	-0.512102272	-0.433117965	-0.453161799	-0.421081266	-0.379849323	-0.427440388	-0.623304235	-0.62189603	-0.32869377	-0.417820991	-0.397759012	-0.429920013	-0.583655904	-0.518015157	-0.485211637	-0.618903086	-0.480521315	-0.588902656	-0.425703911	-0.375937968	0	-0.352516736	-0.507099394	-0.501550892	-0.637678397	-0.548371608	-0.351556241	-0.345071269	-0.498589113	-0.310914398	-0.350622212
IE5	-0.444474816	-0.421511622	-0.440553779	-0.551294329	-0.555737182	-0.450521249	-0.501943651	-0.467672572	-0.345618245	-0.442313499	-0.647069328	-0.701002343	-0.332735609	-0.457707219	-0.410178976	-0.403673737	-0.454337595	-0.503295444	-0.387233406	-0.542110295	-0.42103223	-0.562031002	-0.404835873	-0.300858214	-0.352516736	0	-0.40839094	-0.480920312	-0.65975356	-0.577847706	-0.282577754	-0.344202116	-0.368096506	-0.338714409	-0.445524862
IE7	-0.560864902	-0.534142475	-0.502944245	-0.582681851	-0.56859399	-0.466166349	-0.471720035	-0.464759849	-0.483223765	-0.459209282	-0.569368764	-0.639701514	-0.48659022	-0.44847781	-0.523964135	-0.471822935	-0.496271059	-0.48454084	-0.506428862	-0.547128287	-0.459355171	-0.500710511	-0.50294448	-0.411646704	-0.507099394	-0.40839094	0	-0.417563716	-0.6407668	-0.496148533	-0.416032152	-0.525136328	-0.479028299	-0.485024812	-0.52434468
IE8	-0.591077925	-0.553933848	-0.532357134	-0.562386173	-0.582968562	-0.482512059	-0.482806281	-0.452917756	-0.508898175	-0.489554432	-0.565128854	-0.597229714	-0.554700047	-0.488885639	-0.553083985	-0.512581279	-0.49823241	-0.407736696	-0.528011152	-0.505213481	-0.512108387	-0.504061239	-0.511782342	-0.47014978	-0.501550892	-0.480920312	-0.417563716	0	-0.539043226	-0.472363133	-0.489935338	-0.544037689	-0.54162852	-0.52082785	-0.514138537
IE9	-0.681759957	-0.678613289	-0.672751928	-0.635973223	-0.633056775	-0.616455943	-0.634975057	-0.601865042	-0.670600276	-0.622763081	-0.524341626	-0.494680748	-0.692333254	-0.618872275	-0.711404263	-0.680382051	-0.669255388	-0.664919427	-0.662774279	-0.558264624	-0.692053641	-0.595648498	-0.669931393	-0.672380872	-0.637678397	-0.65975356	-0.6407668	-0.539043226	0	-0.569723141	-0.68003391	-0.693194783	-0.705256718	-0.686743845	-0.625275044
IL1	-0.592958285	-0.563247585	-0.591377297	-0.505747029	-0.544659336	-0.508276981	-0.53914558	-0.494486388	-0.601513329	-0.568482094	-0.524338573	-0.580341431	-0.608320463	-0.555548213	-0.598973497	-0.632200803	-0.570740414	-0.496037207	-0.585134587	-0.544001259	-0.573571927	-0.542161225	-0.629114844	-0.551220709	-0.548371608	-0.577847706	-0.496148533	-0.472363133	-0.569723141	0	-0.536898171	-0.614764055	-0.614863213	-0.589960995	-0.534912615
IL2	-0.419348207	-0.436922962	-0.387159759	-0.51993621	-0.522586493	-0.446835394	-0.470050024	-0.45818172	-0.380325504	-0.455713422	-0.636316732	-0.683539988	-0.307630451	-0.416085444	-0.401433613	-0.398972688	-0.510585814	-0.447022224	-0.419012138	-0.547482641	-0.409674701	-0.569135918	-0.368895591	-0.306604877	-0.351556241	-0.282577754	-0.416032152	-0.489935338	-0.68003391	-0.536898171	0	-0.288062414	-0.433787548	-0.348049702	-0.428599734
IL3	-0.37925961	-0.382670533	-0.354086584	-0.501728539	-0.520211204	-0.497382601	-0.485514641	-0.450753178	-0.322184199	-0.440741035	-0.649098784	-0.655877381	-0.242488478	-0.42412784	-0.320892459	-0.316936826	-0.570975104	-0.506152925	-0.468639899	-0.607397317	-0.473893141	-0.625420293	-0.346617665	-0.338691775	-0.345071269	-0.344202116	-0.525136328	-0.544037689	-0.693194783	-0.614764055	-0.288062414	0	-0.417856784	-0.268880349	-0.391253716
IL4	-0.527441057	-0.520903076	-0.503382016	-0.573389056	-0.602315802	-0.57957637	-0.570515275	-0.537128513	-0.491892829	-0.541684531	-0.704812818	-0.723156123	-0.465715593	-0.470078012	-0.47366241	-0.446587024	-0.467411358	-0.563392953	-0.425557982	-0.511720468	-0.45181471	-0.586365288	-0.450236249	-0.327666702	-0.498589113	-0.368096506	-0.479028299	-0.54162852	-0.705256718	-0.614863213	-0.433787548	-0.417856784	0	-0.393061979	-0.504463446
IL6	-0.379475001	-0.374095417	-0.358239304	-0.446381594	-0.489196154	-0.447856715	-0.442102043	-0.41268066	-0.361770588	-0.399523835	-0.608154549	-0.628942544	-0.262826567	-0.400405129	-0.331562278	-0.310353425	-0.503198595	-0.492727636	-0.465214389	-0.584977396	-0.452261636	-0.56885421	-0.37429489	-0.366429398	-0.310914398	-0.338714409	-0.485024812	-0.52082785	-0.686743845	-0.589960995	-0.348049702	-0.268880349	-0.393061979	0	-0.42266993
IL8	-0.451809516	-0.432562591	-0.452353738	-0.485572002	-0.476810334	-0.485410321	-0.477484896	-0.490735685	-0.43111623	-0.481774642	-0.601380981	-0.610108749	-0.42485894	-0.47181474	-0.489324137	-0.415641235	-0.54025434	-0.565332337	-0.506313857	-0.574733719	-0.49903806	-0.600738793	-0.474124652	-0.449937599	-0.350622212	-0.445524862	-0.52434468	-0.514138537	-0.625275044	-0.534912615	-0.428599734	-0.391253716	-0.504463446	-0.42266993	0
